database_id,hpo_ids_list
OMIM:136550,['HP:0003593']
OMIM:136630,['HP:0003593']
OMIM:136900,['HP:0011462']
OMIM:137200,"['HP:0003621', 'HP:0011463', 'HP:0011462']"
OMIM:137215,['HP:0003581']
OMIM:137245,['HP:0003581']
OMIM:137440,['HP:0003581']
OMIM:137550,['HP:0003577']
OMIM:137920,['HP:0011462']
OMIM:137940,"['HP:0003577', 'HP:0003593', 'HP:0011461']"
OMIM:139000,['HP:0011463']
OMIM:139210,['HP:0011463']
OMIM:140350,['HP:0003593']
OMIM:141300,"['HP:0003621', 'HP:0011462']"
OMIM:141500,"['HP:0003621', 'HP:0011462']"
OMIM:142669,['HP:0011463']
OMIM:142900,"['HP:0003577', 'HP:0034198']"
OMIM:142946,['HP:0003577']
OMIM:143095,"['HP:0003593', 'HP:0003577']"
OMIM:143400,"['HP:0003621', 'HP:0003596', 'HP:0011463', 'HP:0011462', 'HP:0011461']"
OMIM:143860,['HP:0003593']
OMIM:143880,['HP:0003593']
OMIM:144150,['HP:0003581']
OMIM:144755,"['HP:0003621', 'HP:0011462']"
OMIM:145250,['HP:0003593']
OMIM:145350,"['HP:0003577', 'HP:0003593']"
OMIM:145420,['HP:0003577']
OMIM:145900,['HP:0003593']
OMIM:146000,['HP:0003621']
OMIM:146110,['HP:0003621']
OMIM:146200,['HP:0003593']
OMIM:146255,['HP:0003577']
OMIM:146500,['HP:0003581']
OMIM:146510,['HP:0003577']
OMIM:146520,['HP:0003621']
OMIM:146550,['HP:0003577']
OMIM:146590,['HP:0003577']
OMIM:146600,['HP:0003593']
OMIM:146700,['HP:0011463']
OMIM:147060,['HP:0003593']
OMIM:147630,"['HP:0003621', 'HP:0003596', 'HP:0003584', 'HP:0011462']"
OMIM:147750,['HP:0003577']
OMIM:147920,"['HP:0003593', 'HP:0003623', 'HP:0003577', 'HP:0003621', 'HP:0011463', 'HP:0011461', 'HP:0034198']"
OMIM:148200,"['HP:0003621', 'HP:0011462']"
OMIM:148210,['HP:0003623']
OMIM:148300,['HP:0011462']
OMIM:148500,['HP:0003621']
OMIM:148600,"['HP:0003596', 'HP:0011462']"
OMIM:148820,['HP:0003577']
OMIM:149200,['HP:0003577']
OMIM:149400,['HP:0003593']
OMIM:150230,"['HP:0003593', 'HP:0011463']"
OMIM:150260,['HP:0003593']
OMIM:150699,['HP:0003581']
OMIM:151210,['HP:0003577']
OMIM:151600,['HP:0003577']
OMIM:151660,"['HP:0011463', 'HP:0011462', 'HP:0003621', 'HP:0003584', 'HP:0003581']"
OMIM:151800,"['HP:0011463', 'HP:0011462']"
OMIM:153100,['HP:0003577']
OMIM:153550,['HP:0003584']
OMIM:153840,['HP:0003584']
OMIM:154230,['HP:0003577']
OMIM:154400,['HP:0003577']
OMIM:154500,['HP:0003577']
OMIM:155100,['HP:0003577']
OMIM:155500,['HP:0003577']
OMIM:156200,['HP:0003593']
OMIM:156500,['HP:0011463']
OMIM:156530,['HP:0003623']
OMIM:156550,['HP:0003577']
OMIM:157170,['HP:0003577']
OMIM:157600,['HP:0003593']
OMIM:157640,"['HP:0003596', 'HP:0025710', 'HP:0003581']"
OMIM:157800,"['HP:0011461', 'HP:0003577']"
OMIM:158000,['HP:0003593']
OMIM:158170,['HP:0003577']
OMIM:158310,['HP:0003577']
OMIM:158320,['HP:0003596']
OMIM:158330,['HP:0025708']
OMIM:158350,['HP:0003581']
OMIM:158580,['HP:0003621']
OMIM:158600,['HP:0011463']
OMIM:158650,['HP:0003581']
OMIM:158810,['HP:0011463']
OMIM:158900,['HP:0011463']
OMIM:158901,['HP:0003581']
OMIM:159400,['HP:0003581']
OMIM:159900,"['HP:0003621', 'HP:0011463']"
OMIM:159950,"['HP:0011463', 'HP:0003621']"
OMIM:160120,['HP:0003621']
OMIM:160150,"['HP:0003577', 'HP:0003593', 'HP:0011463', 'HP:0003621']"
OMIM:160300,['HP:0003593']
OMIM:160500,"['HP:0003593', 'HP:0011463']"
OMIM:160565,"['HP:0011463', 'HP:0003621', 'HP:0003581']"
OMIM:160800,"['HP:0003621', 'HP:0025708', 'HP:0011463']"
OMIM:161050,['HP:0003577']
OMIM:161400,['HP:0003593']
OMIM:161900,['HP:0003581']
OMIM:162000,"['HP:0003596', 'HP:0011463', 'HP:0011462', 'HP:0003621', 'HP:0003584']"
OMIM:162091,['HP:0003581']
OMIM:162200,"['HP:0003593', 'HP:0011463']"
OMIM:162210,"['HP:0003596', 'HP:0011462']"
OMIM:162350,['HP:0011462']
OMIM:162370,['HP:0003577']
OMIM:162500,"['HP:0003621', 'HP:0011462']"
OMIM:163400,['HP:0003577']
OMIM:163800,"['HP:0003577', 'HP:0011463', 'HP:0011462', 'HP:0003621', 'HP:0003584', 'HP:0003581', 'HP:0025708']"
OMIM:164100,['HP:0003593']
OMIM:164210,['HP:0003577']
OMIM:164280,['HP:0003577']
OMIM:164300,['HP:0003584']
OMIM:164310,"['HP:0003596', 'HP:0011462', 'HP:0003621']"
OMIM:164400,['HP:0003581']
OMIM:164745,['HP:0003577']
OMIM:164750,['HP:0003577']
OMIM:165510,"['HP:0003621', 'HP:0011463', 'HP:0011462']"
OMIM:166200,['HP:0003593']
OMIM:166250,"['HP:0003593', 'HP:0011463']"
OMIM:166260,['HP:0003621']
OMIM:166300,"['HP:0003593', 'HP:0011463', 'HP:0011462', 'HP:0003621']"
OMIM:166350,"['HP:0003621', 'HP:0003593']"
OMIM:166600,['HP:0003621']
OMIM:166700,['HP:0003577']
OMIM:167030,['HP:0011463']
OMIM:167100,['HP:0011462']
OMIM:167320,"['HP:0003596', 'HP:0025710']"
OMIM:167400,['HP:0003623']
OMIM:167730,['HP:0003577']
OMIM:168000,"['HP:0003596', 'HP:0011462', 'HP:0003621', 'HP:0003584']"
OMIM:168300,['HP:0003593']
OMIM:168400,['HP:0003593']
OMIM:168600,"['HP:0003584', 'HP:0003581']"
OMIM:168601,"['HP:0011462', 'HP:0003584']"
OMIM:168605,['HP:0003581']
OMIM:169500,['HP:0003581']
OMIM:170100,['HP:0011463']
OMIM:170390,"['HP:0003621', 'HP:0025708']"
OMIM:170400,['HP:0003593']
OMIM:170500,['HP:0003593']
OMIM:171400,"['HP:0003581', 'HP:0011462']"
OMIM:173100,['HP:0011463']
OMIM:173200,['HP:0003593']
OMIM:174000,['HP:0003581']
OMIM:174050,['HP:0003581']
OMIM:174200,['HP:0003577']
OMIM:174300,['HP:0003577']
OMIM:174700,['HP:0003577']
OMIM:174800,['HP:0003621']
OMIM:175200,['HP:0011463']
OMIM:175700,['HP:0003577']
OMIM:175780,"['HP:0003593', 'HP:0011463', 'HP:0003577']"
OMIM:175800,"['HP:0003621', 'HP:0011462']"
OMIM:175900,['HP:0003621']
OMIM:176200,['HP:0011462']
OMIM:176270,"['HP:0011461', 'HP:0003577']"
OMIM:176450,['HP:0003577']
OMIM:176920,['HP:0003593']
OMIM:177000,['HP:0011463']
OMIM:177100,['HP:0003581']
OMIM:177200,"['HP:0003621', 'HP:0011463']"
OMIM:177700,['HP:0003581']
OMIM:177735,['HP:0003623']
OMIM:178110,['HP:0003577']
OMIM:178600,"['HP:0003596', 'HP:0011462']"
OMIM:179800,['HP:0003621']
OMIM:180000,['HP:0003581']
OMIM:180100,"['HP:0003621', 'HP:0011463', 'HP:0011462']"
OMIM:180105,"['HP:0003593', 'HP:0011463']"
OMIM:180700,['HP:0003577']
OMIM:180750,['HP:0003593']
OMIM:180800,['HP:0003621']
OMIM:180849,"['HP:0003593', 'HP:0003577']"
OMIM:181000,['HP:0003581']
